slug,url,title,h1,meta_description,kategoria,data_publikacji,data_modyfikacji,liczba_slow,glowny_temat,klaster_sugerowany,trafnosc_tematu,encja_glowna,typ_strony,lokalnosc_pkt,wariant_miasta,protected,linki_wychodzace_wewnetrzne,linki_przychodzace_wewnetrzne,ma_schema,sciezka_pliku
"czym-sa-encje-wizytowka-google-przyklady","/czym-sa-encje-wizytowka-google-przyklady","Czym są encje? Wizytówka Google i przykłady","Czym są encje? Wizytówka Google i przykłady","Encja to obiekt, który Google identyfikuje niezależnie od słów użytych w zapytaniu. Wyjaśniamy, czym różni się od słowa kluczowego, dlaczego wizytówka jest źródłem danych o encji, a nie encją samą w sobie, jak działa identyfikator MID i pole sameAs. Z gotowym kodem, trzema przykładami z audytów i listą źródeł Google oraz schema.org.","SEO","2026-09-01","2026-09-01","3184","AI: encje i modele","local-seo/ai","266.9","Profil Firmy w Google","poradnik","","","false","11","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-warszawa","/pozycjonowanie-wizytowki-google-warszawa","Pozycjonowanie wizytówki Google Warszawa","Pozycjonowanie wizytówki Google Warszawa","W Warszawie nie wygrywa się „całego miasta”. Local Pack rozstrzyga się na poziomie dzielnicy, a często kilku ulic. Jak wyznaczyć swój realny rynek, dlaczego promień działania jest tu krótszy niż gdziekolwiek w Polsce i co zrobić, gdy firma ma kilka punktów.","SEO","2026-09-01","2026-09-01","949","obszar działania i zasięg","local-seo","18.9","Profil Firmy w Google","miasto","54","lokalna","false","10","1","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-krakow","/pozycjonowanie-wizytowki-google-krakow","Pozycjonowanie wizytówki Google Kraków","Pozycjonowanie wizytówki Google Kraków","Kraków to dwa nakładające się rynki w jednym mieście: mieszkańcy osiedli i ruch turystyczny w obrębie Plant. Jak ustawić profil, żeby obsługiwać oba, co zrobić z opiniami po angielsku i dlaczego adres w centrum bywa pułapką.","SEO","2026-08-31","2026-08-31","731","zdjęcia w profilu","konfiguracja","5","opinie Google","miasto","26","mieszana","false","9","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-wroclaw","/pozycjonowanie-wizytowki-google-wroclaw","Pozycjonowanie wizytówki Google Wrocław","Pozycjonowanie wizytówki Google Wrocław","Wrocław jest poprzecinany Odrą i jej kanałami, więc odległość w linii prostej rozmija się tu z czasem dojazdu bardziej niż w innych miastach. Co to znaczy dla zasięgu profilu, jak czytać osiedla zamiast dzielnic i gdzie realnie kończy się Twój Local Pack.","SEO","2026-08-30","2026-08-30","711","pozycjonowanie profilu: całość","pillar","23.9","Profil Firmy w Google","miasto","51","lokalna","false","5","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-lodz","/pozycjonowanie-wizytowki-google-lodz","Pozycjonowanie wizytówki Google Łódź","Pozycjonowanie wizytówki Google Łódź","Łódź to miasto kamienic, podwórek i oficyn, w których pinezka Google potrafi wylądować w zupełnie innym miejscu niż wejście do firmy. Jak poprawić lokalizację, opisać dojście i dlaczego w Łodzi to jest realny czynnik konwersji, a nie kosmetyka.","SEO","2026-08-29","2026-08-29","654","sekcja Informacje i pytania","konfiguracja","15","Profil Firmy w Google","miasto","13","temat-generyczny","false","7","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-poznan","/pozycjonowanie-wizytowki-google-poznan","Pozycjonowanie wizytówki Google Poznań","Pozycjonowanie wizytówki Google Poznań","Poznań ma najbardziej biznesowy profil zapytań spośród dużych polskich miast, a rytm targów na MTP zmienia strukturę wyszukiwań kilka razy w roku. Jak ustawić profil firmy pod klienta B2B i co zrobić z tygodniami targowymi.","SEO","2026-08-28","2026-08-28","636","godziny otwarcia i praca zmianowa","konfiguracja","16","Profil Firmy w Google","miasto","23","mieszana","false","8","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-gdansk","/pozycjonowanie-wizytowki-google-gdansk","Pozycjonowanie wizytówki Google Gdańsk","Pozycjonowanie wizytówki Google Gdańsk","Trójmiasto jest jednym organizmem dla mieszkańca i trzema osobnymi rynkami dla algorytmu. Gdzie przebiegają granice widoczności między Gdańskiem, Sopotem i Gdynią, jak obsłużyć klienta z drugiego końca aglomeracji i co robi z tym sezon.","SEO","2026-08-27","2026-08-27","574","obszar działania i zasięg","local-seo","11.1","Profil Firmy w Google","miasto","18","mieszana","false","6","1","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-szczecin","/pozycjonowanie-wizytowki-google-szczecin","Pozycjonowanie wizytówki Google Szczecin","Pozycjonowanie wizytówki Google Szczecin","Szczecin ma rynek, którego nie ma żadne inne duże polskie miasto: realnego klienta zza zachodniej granicy. Jak przygotować profil na zapytania po niemiecku, kiedy to się opłaca i dlaczego gwiaździsty układ miasta psuje intuicję o zasięgu.","SEO","2026-08-26","2026-08-26","577","koszty i decyzje zakupowe","poradniki/decyzje","9.4","Profil Firmy w Google","miasto","9","temat-generyczny","false","4","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-lublin","/pozycjonowanie-wizytowki-google-lublin","Pozycjonowanie wizytówki Google Lublin","Pozycjonowanie wizytówki Google Lublin","Lublin żyje rytmem akademickim, a to oznacza rynek, który dwa razy w roku wymienia część klientów. Jak wykorzystać wrzesień i październik, co ustawić na lipiec i sierpień oraz jak obsłużyć klienta, który szuka po ukraińsku.","SEO","2026-08-25","2026-08-25","568","opinie: zbieranie","opinie","4.8","Profil Firmy w Google","miasto","19","mieszana","false","6","0","false","app/blog/content.tsx + app/blog/posts.ts"
"pozycjonowanie-wizytowki-google-bydgoszcz","/pozycjonowanie-wizytowki-google-bydgoszcz","Pozycjonowanie wizytówki Google Bydgoszcz","Pozycjonowanie wizytówki Google Bydgoszcz","Bydgoszcz i Toruń dzieli 45 kilometrów i jedno województwo, więc firmy z obu miast regularnie wchodzą sobie w wyniki. Jak zbudować profil, który wygrywa u siebie, zanim zacznie walczyć o sąsiada, i gdzie leży granica opłacalnego zasięgu.","SEO","2026-08-24","2026-08-24","590","pozycjonowanie profilu: całość","pillar","5.9","Profil Firmy w Google","miasto","12","temat-generyczny","false","6","1","false","app/blog/content.tsx + app/blog/posts.ts"
